January 2023 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 129 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",52.3,120,6.0,46.3
AL-003,"Baldwin County",57.7,122,6.7,51
AL-005,"Barbour County",51.8,104,4.0,47.8
AL-007,"Bibb County",50.5,118,6.2,44.3
AL-009,"Blount County",48.7,121,7.1,41.6
AL-011,"Bullock County",51.3,111,4.5,46.8
AL-013,"Butler County",53.0,116,5.5,47.5
AL-015,"Calhoun County",49.8,123,7.5,42.3
AL-017,"Chambers County",49.3,117,5.6,43.7
AL-019,"Cherokee County",48.8,122,7.4,41.4
AL-021,"Chilton County",51.3,121,6.6,44.7
AL-023,"Choctaw County",53.4,119,6.3,47.1
AL-025,"Clarke County",54.0,119,6.1,47.9
AL-027,"Clay County",49.6,120,6.8,42.8
AL-029,"Cleburne County",49.2,124,7.7,41.5
AL-031,"Coffee County",53.3,109,4.6,48.7
AL-033,"Colbert County",47.8,125,7.9,39.9
AL-035,"Conecuh County",54.4,115,5.7,48.7
AL-037,"Coosa County",50.9,120,6.4,44.5
AL-039,"Covington County",54.4,114,5.5,48.9
AL-041,"Crenshaw County",52.5,110,5.1,47.4
AL-043,"Cullman County",48.3,124,7.2,41.1
AL-045,"Dale County",53.3,105,4.2,49.1
AL-047,"Dallas County",52.6,120,5.8,46.8
AL-049,"DeKalb County",47.6,121,7.6,40
AL-051,"Elmore County",51.8,118,5.7,46.1
AL-053,"Escambia County",55.6,117,5.9,49.7
AL-055,"Etowah County",49.6,124,7.7,41.9
AL-057,"Fayette County",49.2,121,6.4,42.8
AL-059,"Franklin County",47.8,122,7.6,40.2
AL-061,"Geneva County",54.5,109,4.8,49.7
AL-063,"Greene County",51.5,117,6.3,45.2
AL-065,"Hale County",51.0,117,5.7,45.3
AL-067,"Henry County",53.2,106,4.1,49.1
AL-069,"Houston County",54.7,108,4.5,50.2
AL-071,"Jackson County",47.4,121,7.5,39.9
AL-073,"Jefferson County",49.5,120,6.4,43.1
AL-075,"Lamar County",49.7,121,6.9,42.8
AL-077,"Lauderdale County",47.2,125,7.8,39.4
AL-079,"Lawrence County",47.7,122,7.3,40.4
AL-081,"Lee County",49.8,111,4.2,45.6
AL-083,"Limestone County",47.5,123,7.6,39.9
AL-085,"Lowndes County",52.9,118,5.7,47.2
AL-087,"Macon County",50.9,109,4.4,46.5
AL-089,"Madison County",47.7,124,7.5,40.2
AL-091,"Marengo County",52.6,119,6.0,46.6
AL-093,"Marion County",48.5,122,7.2,41.3
