February 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",51.9,94,2.7,49.2
AL-003,"Baldwin County",55.6,90,2.0,53.6
AL-005,"Barbour County",53.4,95,2.8,50.6
AL-007,"Bibb County",49.6,90,2.3,47.3
AL-009,"Blount County",47.9,98,3.4,44.5
AL-011,"Bullock County",52.3,92,2.6,49.7
AL-013,"Butler County",51.8,84,1.3,50.5
AL-015,"Calhoun County",48.8,100,3.5,45.3
AL-017,"Chambers County",49.4,97,2.9,46.5
AL-019,"Cherokee County",47.9,99,3.5,44.4
AL-021,"Chilton County",50.9,98,3.3,47.6
AL-023,"Choctaw County",52.3,92,2.2,50.1
AL-025,"Clarke County",52.8,89,2.0,50.8
AL-027,"Clay County",48.1,95,2.4,45.7
AL-029,"Cleburne County",48.4,105,4.0,44.4
AL-031,"Coffee County",53.9,90,2.3,51.6
AL-033,"Colbert County",44.5,79,1.6,42.9
AL-035,"Conecuh County",53.7,90,2.0,51.7
AL-037,"Coosa County",49.7,93,2.3,47.4
AL-039,"Covington County",53.7,88,1.8,51.9
AL-041,"Crenshaw County",52.0,85,1.6,50.4
AL-043,"Cullman County",46.5,89,2.5,44
AL-045,"Dale County",54.6,95,2.7,51.9
AL-047,"Dallas County",51.9,90,2.2,49.7
AL-049,"DeKalb County",45.4,91,2.5,42.9
AL-051,"Elmore County",51.3,92,2.3,49
AL-053,"Escambia County",55.1,93,2.5,52.6
AL-055,"Etowah County",47.9,96,3.1,44.8
AL-057,"Fayette County",47.0,79,1.2,45.8
AL-059,"Franklin County",44.6,76,1.4,43.2
AL-061,"Geneva County",54.4,87,1.9,52.5
AL-063,"Greene County",49.3,77,1.1,48.2
AL-065,"Hale County",49.5,79,1.3,48.2
AL-067,"Henry County",54.8,96,3.1,51.7
AL-069,"Houston County",55.3,92,2.4,52.9
AL-071,"Jackson County",44.6,85,1.8,42.8
AL-073,"Jefferson County",48.4,90,2.4,46
AL-075,"Lamar County",47.2,80,1.3,45.9
AL-077,"Lauderdale County",43.8,79,1.4,42.4
AL-079,"Lawrence County",44.3,73,1.0,43.3
AL-081,"Lee County",50.4,93,2.2,48.2
AL-083,"Limestone County",43.5,67,0.6,42.9
AL-085,"Lowndes County",52.0,87,1.8,50.2
AL-087,"Macon County",51.4,89,2.0,49.4
AL-089,"Madison County",44.3,74,1.2,43.1
AL-091,"Marengo County",51.2,88,1.7,49.5
AL-093,"Marion County",45.3,76,1.0,44.3
AL-095,"Marshall County",46.3,90,2.3,44
AL-097,"Mobile County",54.6,85,1.4,53.2
AL-099,"Monroe County",53.6,92,2.4,51.2
AL-101,"Montgomery County",52.2,88,2.2,50
AL-103,"Morgan County",45.1,82,1.5,43.6
AL-105,"Perry County",50.6,91,2.1,48.5
AL-107,"Pickens County",48.6,84,1.5,47.1
AL-109,"Pike County",52.9,91,2.3,50.6
AL-111,"Randolph County",48.7,101,3.5,45.2
AL-113,"Russell County",51.8,92,2.2,49.6
AL-115,"St. Clair County",48.5,97,3.0,45.5
AL-117,"Shelby County",49.1,92,2.4,46.7
AL-119,"Sumter County",50.2,85,1.3,48.9
AL-121,"Talladega County",48.7,89,2.1,46.6
AL-123,"Tallapoosa County",49.3,89,2.0,47.3
AL-125,"Tuscaloosa County",48.7,82,1.6,47.1
AL-127,"Walker County",46.9,82,1.4,45.5
AL-129,"Washington County",53.4,89,1.8,51.6
AL-131,"Wilcox County",52.4,91,2.1,50.3
AL-133,"Winston County",44.8,76,1.0,43.8
AZ-001,"Apache County",32.0,26,-2.5,34.5
AZ-003,"Cochise County",44.9,30,-2.0,46.9
AZ-005,"Coconino County",35.8,47,-0.7,36.5
