July 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",82.8,118,2.1,80.7
AL-003,"Baldwin County",82.2,106,1.0,81.2
AL-005,"Barbour County",81.5,98,1.1,80.4
AL-007,"Bibb County",81.7,111,1.6,80.1
AL-009,"Blount County",81.2,118,2.4,78.8
AL-011,"Bullock County",81.4,102,1.3,80.1
AL-013,"Butler County",81.7,110,1.4,80.3
AL-015,"Calhoun County",81.0,116,2.2,78.8
AL-017,"Chambers County",80.6,115,2.2,78.4
AL-019,"Cherokee County",80.4,103,1.5,78.9
AL-021,"Chilton County",81.8,117,2.1,79.7
AL-023,"Choctaw County",82.5,111,1.7,80.8
AL-025,"Clarke County",81.7,95,1.0,80.7
AL-027,"Clay County",79.8,117,2.2,77.6
AL-029,"Cleburne County",79.4,108,1.9,77.5
AL-031,"Coffee County",81.6,99,1.1,80.5
AL-033,"Colbert County",81.7,120,2.7,79
AL-035,"Conecuh County",81.3,81,0.4,80.9
AL-037,"Coosa County",81.2,115,2.1,79.1
AL-039,"Covington County",81.7,102,0.9,80.8
AL-041,"Crenshaw County",81.4,109,1.4,80
AL-043,"Cullman County",80.8,115,2.2,78.6
AL-045,"Dale County",81.9,101,1.2,80.7
AL-047,"Dallas County",82.9,116,2.1,80.8
AL-049,"DeKalb County",78.7,103,1.4,77.3
AL-051,"Elmore County",82.4,113,2.1,80.3
AL-053,"Escambia County",81.2,71,0.1,81.1
AL-055,"Etowah County",81.2,114,2.2,79
AL-057,"Fayette County",82.4,119,2.2,80.2
AL-059,"Franklin County",81.2,119,2.5,78.7
AL-061,"Geneva County",81.8,93,0.9,80.9
AL-063,"Greene County",82.5,103,1.2,81.3
AL-065,"Hale County",82.1,104,1.3,80.8
AL-067,"Henry County",81.8,97,1.0,80.8
AL-069,"Houston County",82.0,91,0.7,81.3
AL-071,"Jackson County",79.7,112,1.9,77.8
AL-073,"Jefferson County",81.8,113,2.1,79.7
AL-075,"Lamar County",83.0,122,2.6,80.4
AL-077,"Lauderdale County",81.3,120,2.6,78.7
AL-079,"Lawrence County",81.2,118,2.3,78.9
AL-081,"Lee County",80.6,104,1.4,79.2
AL-083,"Limestone County",81.4,118,2.6,78.8
AL-085,"Lowndes County",83.0,119,2.1,80.9
AL-087,"Macon County",81.8,106,1.5,80.3
AL-089,"Madison County",81.4,120,2.7,78.7
AL-091,"Marengo County",82.4,109,1.5,80.9
AL-093,"Marion County",81.8,121,2.5,79.3
AL-095,"Marshall County",80.8,116,2.2,78.6
AL-097,"Mobile County",82.3,109,1.3,81
AL-099,"Monroe County",81.4,87,0.7,80.7
AL-101,"Montgomery County",82.6,114,1.8,80.8
AL-103,"Morgan County",81.4,118,2.5,78.9
AL-105,"Perry County",81.9,110,1.5,80.4
AL-107,"Pickens County",82.9,114,1.9,81
AL-109,"Pike County",81.4,101,1.2,80.2
AL-111,"Randolph County",80.0,118,2.2,77.8
AL-113,"Russell County",81.1,94,0.8,80.3
AL-115,"St. Clair County",81.4,117,2.4,79
AL-117,"Shelby County",81.8,117,2.3,79.5
AL-119,"Sumter County",82.6,107,1.5,81.1
AL-121,"Talladega County",81.5,117,2.4,79.1
AL-123,"Tallapoosa County",81.0,113,2.2,78.8
AL-125,"Tuscaloosa County",82.2,105,1.4,80.8
AL-127,"Walker County",81.7,110,1.9,79.8
AL-129,"Washington County",82.0,103,1.1,80.9
AL-131,"Wilcox County",82.4,113,1.6,80.8
AL-133,"Winston County",80.6,114,2.0,78.6
AZ-001,"Apache County",73.5,123,2.5,71
AZ-003,"Cochise County",79.2,104,1.1,78.1
AZ-005,"Coconino County",75.8,115,2.6,73.2
AZ-007,"Gila County",80.1,111,2.0,78.1
AZ-009,"Graham County",81.4,120,2.3,79.1
AZ-011,"Greenlee County",76.0,113,1.8,74.2
AZ-012,"La Paz County",93.5,108,2.1,91.4
AZ-013,"Maricopa County",91.8,113,2.4,89.4
AZ-015,"Mohave County",85.2,108,2.4,82.8
AZ-017,"Navajo County",75.4,112,2.3,73.1
AZ-019,"Pima County",86.7,109,1.6,85.1
AZ-021,"Pinal County",89.4,109,2.0,87.4
AZ-023,"Santa Cruz County",76.8,67,0.2,76.6
AZ-025,"Yavapai County",80.8,119,2.7,78.1
AZ-027,"Yuma County",93.7,120,3.1,90.6
AR-001,"Arkansas County",83.4,112,1.8,81.6
AR-003,"Ashley County",84.5,122,3.2,81.3
AR-005,"Baxter County",83.2,122,5.1,78.1
AR-007,"Benton County",83.4,122,5.3,78.1
AR-009,"Boone County",82.6,121,5.0,77.6
AR-011,"Bradley County",84.1,121,2.8,81.3
AR-013,"Calhoun County",84.2,120,2.7,81.5
AR-015,"Carroll County",82.5,122,4.9,77.6
AR-017,"Chicot County",84.4,121,2.6,81.8
AR-019,"Clark County",85.2,121,3.7,81.5
AR-021,"Clay County",83.0,119,2.9,80.1
AR-023,"Cleburne County",83.7,124,4.5,79.2
AR-025,"Cleveland County",84.1,118,2.8,81.3
AR-027,"Columbia County",84.6,120,2.9,81.7
AR-029,"Conway County",85.4,123,4.7,80.7
AR-031,"Craighead County",83.2,119,2.8,80.4
AR-033,"Crawford County",85.6,125,5.9,79.7
AR-035,"Crittenden County",84.7,120,3.1,81.6
AR-037,"Cross County",84.4,121,3.1,81.3
AR-039,"Dallas County",84.5,120,3.2,81.3
AR-041,"Desha County",83.0,106,1.3,81.7
AR-043,"Drew County",84.0,120,2.6,81.4
AR-045,"Faulkner County",85.1,122,4.3,80.8
AR-047,"Franklin County",85.0,125,5.4,79.6
AR-049,"Fulton County",82.6,124,4.9,77.7
AR-051,"Garland County",84.5,121,4.1,80.4
AR-053,"Grant County",84.7,118,3.3,81.4
AR-055,"Greene County",82.9,119,2.7,80.2
AR-057,"Hempstead County",85.4,123,3.9,81.5
AR-059,"Hot Spring County",84.9,120,3.7,81.2
AR-061,"Howard County",84.7,125,4.4,80.3
AR-063,"Independence County",82.8,120,3.4,79.4
AR-065,"Izard County",82.7,122,4.3,78.4
AR-067,"Jackson County",83.6,120,3.3,80.3
AR-069,"Jefferson County",84.2,116,2.7,81.5
AR-071,"Johnson County",83.9,124,5.0,78.9
AR-073,"Lafayette County",86.1,125,4.1,82
AR-075,"Lawrence County",82.8,119,3.0,79.8
AR-077,"Lee County",84.2,120,2.8,81.4
AR-079,"Lincoln County",83.7,116,2.1,81.6
AR-081,"Little River County",86.7,126,5.2,81.5
AR-083,"Logan County",85.5,124,5.0,80.5
AR-085,"Lonoke County",84.7,120,3.3,81.4
AR-087,"Madison County",81.9,122,5.3,76.6
AR-089,"Marion County",83.1,121,5.0,78.1
