December 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",50.1,95,2.9,47.2
AL-003,"Baldwin County",55.3,97,3.0,52.3
AL-005,"Barbour County",49.9,79,1.1,48.8
AL-007,"Bibb County",48.6,98,3.0,45.6
AL-009,"Blount County",46.6,100,3.5,43.1
AL-011,"Bullock County",49.7,83,1.8,47.9
AL-013,"Butler County",50.2,82,1.6,48.6
AL-015,"Calhoun County",47.2,98,3.6,43.6
AL-017,"Chambers County",46.9,89,2.3,44.6
AL-019,"Cherokee County",45.1,88,2.4,42.7
AL-021,"Chilton County",48.7,95,2.9,45.8
AL-023,"Choctaw County",51.0,94,2.6,48.4
AL-025,"Clarke County",51.2,90,2.2,49
AL-027,"Clay County",47.2,95,3.3,43.9
AL-029,"Cleburne County",46.5,101,3.8,42.7
AL-031,"Coffee County",51.8,84,2.0,49.8
AL-033,"Colbert County",45.0,96,3.1,41.9
AL-035,"Conecuh County",51.6,83,1.7,49.9
AL-037,"Coosa County",48.2,91,2.7,45.5
AL-039,"Covington County",52.5,92,2.5,50
AL-041,"Crenshaw County",50.3,83,1.9,48.4
AL-043,"Cullman County",46.5,104,3.8,42.7
AL-045,"Dale County",51.7,82,1.5,50.2
AL-047,"Dallas County",50.7,97,2.8,47.9
AL-049,"DeKalb County",43.6,85,2.0,41.6
AL-051,"Elmore County",49.6,91,2.5,47.1
AL-053,"Escambia County",53.2,93,2.4,50.8
AL-055,"Etowah County",45.8,88,2.5,43.3
AL-057,"Fayette County",47.3,95,2.9,44.4
AL-059,"Franklin County",45.5,101,3.4,42.1
AL-061,"Geneva County",52.9,87,2.2,50.7
AL-063,"Greene County",49.1,93,2.5,46.6
AL-065,"Hale County",48.9,88,2.2,46.7
AL-067,"Henry County",51.2,78,1.2,50
AL-069,"Houston County",52.5,81,1.4,51.1
AL-071,"Jackson County",43.6,89,2.1,41.5
AL-073,"Jefferson County",48.1,102,3.6,44.5
AL-075,"Lamar County",48.0,104,3.6,44.4
AL-077,"Lauderdale County",43.6,88,2.2,41.4
AL-079,"Lawrence County",44.5,90,2.2,42.3
AL-081,"Lee County",48.1,83,1.6,46.5
AL-083,"Limestone County",43.7,85,1.9,41.8
AL-085,"Lowndes County",50.8,94,2.6,48.2
AL-087,"Macon County",49.2,84,1.6,47.6
AL-089,"Madison County",44.4,90,2.3,42.1
AL-091,"Marengo County",50.0,91,2.2,47.8
AL-093,"Marion County",46.4,102,3.4,43
AL-095,"Marshall County",45.5,94,2.8,42.7
AL-097,"Mobile County",55.0,100,3.2,51.8
AL-099,"Monroe County",51.5,88,2.0,49.5
