March 2023 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 129 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",60.1,109,3.977,56.1
AL-003,"Baldwin County",64.6,119,5.034,59.6
AL-005,"Barbour County",60.6,105,3.528,57.1
AL-007,"Bibb County",57.7,96,3.124,54.6
AL-009,"Blount County",55.2,99,3.176,52
AL-011,"Bullock County",60.1,108,3.874,56.2
AL-013,"Butler County",60.6,104,3.511,57.1
AL-015,"Calhoun County",56.2,104,3.593,52.6
AL-017,"Chambers County",57.2,106,3.822,53.4
AL-019,"Cherokee County",54.5,90,2.63,51.9
AL-021,"Chilton County",58.7,108,3.99,54.7
AL-023,"Choctaw County",60.9,109,3.896,57
AL-025,"Clarke County",61.2,103,3.689,57.5
AL-027,"Clay County",56.3,104,3.535,52.8
AL-029,"Cleburne County",55.5,106,3.936,51.6
AL-031,"Coffee County",61.9,110,3.844,58.1
AL-033,"Colbert County",54.6,99,3.791,50.8
AL-035,"Conecuh County",61.4,102,3.357,58
AL-037,"Coosa County",58.1,105,3.741,54.4
AL-039,"Covington County",62.1,112,3.961,58.1
AL-041,"Crenshaw County",60.7,109,3.809,56.9
AL-043,"Cullman County",54.6,98,3.015,51.6
AL-045,"Dale County",62.2,111,3.834,58.4
AL-047,"Dallas County",60.3,101,3.624,56.7
AL-049,"DeKalb County",53.2,90,2.635,50.6
AL-051,"Elmore County",59.7,108,3.856,55.8
AL-053,"Escambia County",62.6,110,3.809,58.8
AL-055,"Etowah County",55.7,102,3.386,52.3
AL-057,"Fayette County",56.3,95,2.864,53.4
AL-059,"Franklin County",55,105,4.063,50.9
AL-061,"Geneva County",62.8,113,3.885,58.9
AL-063,"Greene County",58.5,91,2.732,55.8
AL-065,"Hale County",58.3,90,2.635,55.7
AL-067,"Henry County",62.3,113,4.036,58.3
AL-069,"Houston County",63.4,114,4.066,59.3
AL-071,"Jackson County",53.2,92,2.565,50.6
AL-073,"Jefferson County",56.3,95,2.919,53.4
AL-075,"Lamar County",57.1,102,3.588,53.5
AL-077,"Lauderdale County",53.3,94,2.898,50.4
AL-079,"Lawrence County",53.9,94,2.755,51.1
AL-081,"Lee County",58.2,102,3.325,54.9
AL-083,"Limestone County",52.9,85,2.005,50.9
AL-085,"Lowndes County",60.8,107,3.896,56.9
AL-087,"Macon County",59.6,104,3.563,56
AL-089,"Madison County",53.2,87,2.212,51
AL-091,"Marengo County",59.8,96,3.173,56.6
AL-093,"Marion County",55.8,104,3.836,52
AL-095,"Marshall County",54.7,99,3.1,51.6
AL-097,"Mobile County",64.5,119,5.261,59.2
AL-099,"Monroe County",61.3,99,3.472,57.8
AL-101,"Montgomery County",60.8,110,4.169,56.6
AL-103,"Morgan County",54,92,2.649,51.4
AL-105,"Perry County",58.8,93,3.098,55.7
AL-107,"Pickens County",57.8,96,3.087,54.7
AL-109,"Pike County",60.8,113,3.77,57
AL-111,"Randolph County",56.4,108,4.146,52.3
AL-113,"Russell County",59.6,101,3.362,56.2
AL-115,"St. Clair County",56,101,3.156,52.8
AL-117,"Shelby County",57.2,102,3.29,53.9
AL-119,"Sumter County",59.3,96,3.142,56.2
AL-121,"Talladega County",57.1,101,3.286,53.8
AL-123,"Tallapoosa County",57.7,103,3.553,54.1
AL-125,"Tuscaloosa County",57.2,89,2.55,54.7
AL-127,"Walker County",55.7,93,2.626,53.1
AL-129,"Washington County",62.3,114,4.269,58
AL-131,"Wilcox County",60.6,98,3.338,57.3
AL-133,"Winston County",54.6,97,3.103,51.5
AZ-001,"Apache County",38.8,38,-1.083,39.9
AZ-003,"Cochise County",50.6,40,-0.84,51.4
AZ-005,"Coconino County",38.9,20,-2.989,41.9
AZ-007,"Gila County",47,28,-1.601,48.6
AZ-009,"Graham County",49.7,41,-0.874,50.6
AZ-011,"Greenlee County",45.5,40,-0.935,46.4
AZ-012,"La Paz County",58.2,30,-2.161,60.4
AZ-013,"Maricopa County",57.2,30,-1.922,59.1
AZ-015,"Mohave County",46.9,11,-4.01,50.9
AZ-017,"Navajo County",39.7,34,-1.616,41.3
AZ-019,"Pima County",55.4,38,-1.372,56.8
AZ-021,"Pinal County",56.1,36,-1.386,57.5
AZ-023,"Santa Cruz County",49,29,-1.806,50.8
AZ-025,"Yavapai County",45.4,23,-2.692,48.1
AZ-027,"Yuma County",60.7,45,-0.922,61.6
AR-001,"Arkansas County",55.3,88,2.144,53.2
AR-003,"Ashley County",58.6,105,3.66,54.9
AR-005,"Baxter County",48.1,69,0.691,47.4
AR-007,"Benton County",49.2,80,1.648,47.6
AR-009,"Boone County",47.7,73,0.723,47
AR-011,"Bradley County",57.9,102,3.59,54.3
AR-013,"Calhoun County",57.6,102,3.313,54.3
AR-015,"Carroll County",47.7,71,0.686,47
AR-017,"Chicot County",58.4,99,3.31,55.1
AR-019,"Clark County",55.2,89,1.87,53.3
AR-021,"Clay County",50.3,82,1.47,48.8
AR-023,"Cleburne County",51.1,81,1.539,49.6
