April 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",63.2,54,-0.4,63.6
AL-003,"Baldwin County",67.7,95,1.3,66.4
AL-005,"Barbour County",64.2,58,-0.3,64.5
AL-007,"Bibb County",61.9,56,-0.6,62.5
AL-009,"Blount County",60.3,63,0.0,60.3
AL-011,"Bullock County",63.3,56,-0.5,63.8
AL-013,"Butler County",63.3,45,-1.1,64.4
AL-015,"Calhoun County",60.8,69,0.1,60.7
AL-017,"Chambers County",59.5,30,-1.8,61.3
AL-019,"Cherokee County",60.5,64,0.1,60.4
AL-021,"Chilton County",62.0,58,-0.4,62.4
AL-023,"Choctaw County",64.7,73,0.3,64.4
AL-025,"Clarke County",64.9,70,0.2,64.7
AL-027,"Clay County",59.6,48,-1.0,60.6
AL-029,"Cleburne County",60.2,76,0.5,59.7
AL-031,"Coffee County",65.2,68,0.1,65.1
AL-033,"Colbert County",60.0,70,0.2,59.8
AL-035,"Conecuh County",64.5,56,-0.6,65.1
AL-037,"Coosa County",61.2,50,-0.8,62
AL-039,"Covington County",65.2,65,-0.1,65.3
AL-041,"Crenshaw County",63.6,53,-0.7,64.3
AL-043,"Cullman County",60.2,67,0.1,60.1
AL-045,"Dale County",65.6,73,0.2,65.4
AL-047,"Dallas County",63.4,52,-0.6,64
AL-049,"DeKalb County",58.4,50,-0.8,59.2
AL-051,"Elmore County",62.5,47,-0.8,63.3
AL-053,"Escambia County",65.8,70,0.1,65.7
AL-055,"Etowah County",60.4,60,-0.2,60.6
AL-057,"Fayette County",61.3,60,-0.4,61.7
AL-059,"Franklin County",60.4,79,0.6,59.8
AL-061,"Geneva County",66.1,73,0.2,65.9
AL-063,"Greene County",62.5,45,-1.1,63.6
AL-065,"Hale County",62.2,41,-1.2,63.4
AL-067,"Henry County",65.6,73,0.2,65.4
AL-069,"Houston County",66.2,68,-0.1,66.3
AL-071,"Jackson County",58.6,48,-0.8,59.4
AL-073,"Jefferson County",61.0,54,-0.5,61.5
AL-075,"Lamar County",61.9,69,0.1,61.8
AL-077,"Lauderdale County",58.8,51,-0.7,59.5
AL-079,"Lawrence County",59.0,49,-0.9,59.9
AL-081,"Lee County",60.5,26,-1.9,62.4
AL-083,"Limestone County",58.3,33,-1.5,59.8
AL-085,"Lowndes County",63.9,53,-0.5,64.4
AL-087,"Macon County",62.2,43,-1.3,63.5
AL-089,"Madison County",59.0,48,-0.8,59.8
AL-091,"Marengo County",63.1,52,-1.0,64.1
AL-093,"Marion County",60.3,61,-0.2,60.5
AL-095,"Marshall County",59.8,57,-0.3,60.1
AL-097,"Mobile County",67.6,97,1.4,66.2
AL-099,"Monroe County",64.7,61,-0.2,64.9
AL-101,"Montgomery County",63.8,55,-0.3,64.1
AL-103,"Morgan County",59.5,50,-0.6,60.1
AL-105,"Perry County",62.4,50,-0.9,63.3
AL-107,"Pickens County",62.8,66,0.0,62.8
AL-109,"Pike County",64.1,59,-0.3,64.4
AL-111,"Randolph County",59.6,50,-0.6,60.2
AL-113,"Russell County",62.1,33,-1.6,63.7
AL-115,"St. Clair County",59.9,46,-0.9,60.8
AL-117,"Shelby County",61.0,50,-0.7,61.7
AL-119,"Sumter County",63.0,52,-0.8,63.8
AL-121,"Talladega County",60.5,49,-1.0,61.5
AL-123,"Tallapoosa County",60.2,35,-1.6,61.8
AL-125,"Tuscaloosa County",62.3,59,-0.5,62.8
AL-127,"Walker County",60.8,54,-0.5,61.3
AL-129,"Washington County",65.9,82,0.6,65.3
AL-131,"Wilcox County",63.7,51,-0.7,64.4
AL-133,"Winston County",59.4,50,-0.6,60
AZ-001,"Apache County",50.1,104,2.7,47.4
AZ-003,"Cochise County",63.1,125,4.8,58.3
AZ-005,"Coconino County",53.1,113,3.6,49.5
AZ-007,"Gila County",60.8,123,5.4,55.4
AZ-009,"Graham County",62.6,124,5.0,57.6
AZ-011,"Greenlee County",58.0,123,4.7,53.3
AZ-012,"La Paz County",72.2,119,4.4,67.8
AZ-013,"Maricopa County",70.9,118,4.6,66.3
AZ-015,"Mohave County",62.1,111,3.8,58.3
AZ-017,"Navajo County",52.4,112,3.4,49
AZ-019,"Pima County",68.3,120,4.6,63.7
AZ-021,"Pinal County",69.7,118,4.8,64.9
AZ-023,"Santa Cruz County",61.2,119,3.9,57.3
AZ-025,"Yavapai County",59.4,117,4.5,54.9
AZ-027,"Yuma County",72.2,112,3.9,68.3
AR-001,"Arkansas County",61.5,48,-0.8,62.3
AR-003,"Ashley County",64.1,83,0.8,63.3
AR-005,"Baxter County",56.4,43,-0.9,57.3
AR-007,"Benton County",57.2,63,-0.2,57.4
AR-009,"Boone County",56.4,58,-0.4,56.8
AR-011,"Bradley County",63.0,77,0.2,62.8
AR-013,"Calhoun County",62.2,55,-0.6,62.8
AR-015,"Carroll County",56.0,50,-0.8,56.8
AR-017,"Chicot County",63.9,70,0.3,63.6
AR-019,"Clark County",61.0,43,-1.1,62.1
AR-021,"Clay County",57.3,28,-1.8,59.1
AR-023,"Cleburne County",58.5,51,-0.5,59
AR-025,"Cleveland County",61.4,42,-1.0,62.4
AR-027,"Columbia County",63.4,76,0.2,63.2
AR-029,"Conway County",59.8,58,-0.5,60.3
AR-031,"Craighead County",58.2,35,-1.5,59.7
AR-033,"Crawford County",58.3,42,-1.1,59.4
AR-035,"Crittenden County",60.4,46,-1.0,61.4
AR-037,"Cross County",59.4,33,-1.6,61
AR-039,"Dallas County",60.8,32,-1.5,62.3
AR-041,"Desha County",62.5,58,-0.3,62.8
AR-043,"Drew County",63.0,70,0.2,62.8
AR-045,"Faulkner County",59.6,48,-1.0,60.6
AR-047,"Franklin County",58.1,42,-1.3,59.4
AR-049,"Fulton County",56.1,44,-0.9,57
AR-051,"Garland County",60.2,55,-0.6,60.8
AR-053,"Grant County",60.4,27,-1.8,62.2
AR-055,"Greene County",57.6,30,-1.7,59.3
AR-057,"Hempstead County",62.1,61,-0.3,62.4
AR-059,"Hot Spring County",60.8,40,-1.0,61.8
AR-061,"Howard County",61.0,67,-0.1,61.1
AR-063,"Independence County",57.7,38,-1.3,59
AR-065,"Izard County",55.9,28,-1.8,57.7
AR-067,"Jackson County",58.3,34,-1.5,59.8
AR-069,"Jefferson County",60.8,33,-1.5,62.3
AR-071,"Johnson County",57.9,51,-0.8,58.7
AR-073,"Lafayette County",64.0,82,0.8,63.2
AR-075,"Lawrence County",57.2,28,-1.8,59
AR-077,"Lee County",60.9,51,-0.7,61.6
AR-079,"Lincoln County",61.9,54,-0.6,62.5
AR-081,"Little River County",63.5,84,1.2,62.3
AR-083,"Logan County",59.3,50,-0.9,60.2
AR-085,"Lonoke County",60.3,35,-1.4,61.7
AR-087,"Madison County",55.8,54,-0.7,56.5
AR-089,"Marion County",56.8,55,-0.4,57.2
AR-091,"Miller County",64.5,89,1.3,63.2
AR-093,"Mississippi County",58.9,36,-1.4,60.3
AR-095,"Monroe County",61.0,49,-0.8,61.8
AR-097,"Montgomery County",60.6,75,0.5,60.1
AR-099,"Nevada County",61.7,48,-0.9,62.6
AR-101,"Newton County",56.0,57,-0.4,56.4
AR-103,"Ouachita County",61.8,42,-1.2,63
AR-105,"Perry County",59.8,43,-1.0,60.8
AR-107,"Phillips County",61.4,53,-0.6,62
AR-109,"Pike County",60.7,60,-0.3,61
AR-111,"Poinsett County",58.8,34,-1.5,60.3
