May 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",74.7,117,3.3,71.4
AL-003,"Baldwin County",76.7,120,3.2,73.5
AL-005,"Barbour County",74.5,106,2.2,72.3
AL-007,"Bibb County",73.3,113,2.9,70.4
AL-009,"Blount County",72.1,116,3.6,68.5
AL-011,"Bullock County",74.0,109,2.3,71.7
AL-013,"Butler County",74.4,112,2.5,71.9
AL-015,"Calhoun County",72.0,118,3.2,68.8
AL-017,"Chambers County",71.4,103,2.2,69.2
AL-019,"Cherokee County",71.9,115,3.2,68.7
AL-021,"Chilton County",73.3,114,3.0,70.3
AL-023,"Choctaw County",75.6,121,3.7,71.9
AL-025,"Clarke County",75.0,115,2.9,72.1
AL-027,"Clay County",71.1,112,2.8,68.3
AL-029,"Cleburne County",71.1,119,3.4,67.7
AL-031,"Coffee County",75.1,108,2.3,72.8
AL-033,"Colbert County",71.0,107,2.9,68.1
AL-035,"Conecuh County",74.7,110,2.1,72.6
AL-037,"Coosa County",72.6,112,2.9,69.7
AL-039,"Covington County",75.0,110,2.2,72.8
AL-041,"Crenshaw County",74.4,114,2.6,71.8
AL-043,"Cullman County",71.5,110,3.3,68.2
AL-045,"Dale County",75.3,106,2.2,73.1
AL-047,"Dallas County",74.9,117,3.1,71.8
AL-049,"DeKalb County",69.9,105,2.6,67.3
AL-051,"Elmore County",74.0,113,2.8,71.2
AL-053,"Escambia County",75.3,111,2.3,73
AL-055,"Etowah County",72.0,112,3.2,68.8
AL-057,"Fayette County",72.7,112,2.9,69.8
AL-059,"Franklin County",71.2,115,3.2,68
AL-061,"Geneva County",75.3,104,1.9,73.4
AL-063,"Greene County",74.4,116,2.8,71.6
AL-065,"Hale County",74.0,108,2.6,71.4
AL-067,"Henry County",75.3,108,2.1,73.2
AL-069,"Houston County",75.3,92,1.3,74
AL-071,"Jackson County",70.2,104,2.7,67.5
AL-073,"Jefferson County",73.0,115,3.4,69.6
AL-075,"Lamar County",73.3,116,3.4,69.9
AL-077,"Lauderdale County",70.1,98,2.4,67.7
AL-079,"Lawrence County",70.5,100,2.3,68.2
AL-081,"Lee County",72.0,93,1.5,70.5
AL-083,"Limestone County",70.4,101,2.4,68
AL-085,"Lowndes County",75.2,117,3.2,72
AL-087,"Macon County",73.5,102,1.9,71.6
AL-089,"Madison County",71.0,108,3.0,68
AL-091,"Marengo County",74.6,113,2.8,71.8
AL-093,"Marion County",71.6,109,2.9,68.7
AL-095,"Marshall County",71.3,111,3.0,68.3
AL-097,"Mobile County",76.8,122,3.6,73.2
