May 2023 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 129 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",71.4,61,0.019,71.4
AL-003,"Baldwin County",74.5,89,1.049,73.5
AL-005,"Barbour County",70.2,21,-2.093,72.3
AL-007,"Bibb County",69.9,54,-0.504,70.4
AL-009,"Blount County",68.2,59,-0.31,68.5
AL-011,"Bullock County",69.7,22,-1.955,71.7
AL-013,"Butler County",71.2,52,-0.653,71.9
AL-015,"Calhoun County",68.2,50,-0.6,68.8
AL-017,"Chambers County",67.8,31,-1.4,69.2
AL-019,"Cherokee County",67.3,36,-1.4,68.7
AL-021,"Chilton County",70,56,-0.277,70.3
AL-023,"Choctaw County",72.3,72,0.429,71.9
AL-025,"Clarke County",72.2,62,0.081,72.1
AL-027,"Clay County",67.7,55,-0.563,68.3
AL-029,"Cleburne County",66.9,46,-0.788,67.7
AL-031,"Coffee County",72.1,51,-0.678,72.8
AL-033,"Colbert County",68.4,69,0.284,68.1
AL-035,"Conecuh County",72,53,-0.58,72.6
AL-037,"Coosa County",69.2,49,-0.509,69.7
AL-039,"Covington County",72.6,62,-0.236,72.8
AL-041,"Crenshaw County",71,48,-0.779,71.8
AL-043,"Cullman County",67.9,61,-0.31,68.2
AL-045,"Dale County",72,40,-1.104,73.1
AL-047,"Dallas County",71.7,58,-0.098,71.8
AL-049,"DeKalb County",65.9,37,-1.379,67.3
AL-051,"Elmore County",70.4,44,-0.766,71.2
AL-053,"Escambia County",72.9,59,-0.129,73
AL-055,"Etowah County",68,46,-0.828,68.8
AL-057,"Fayette County",69.7,62,-0.099,69.8
AL-059,"Franklin County",68.2,69,0.198,68
AL-061,"Geneva County",73.2,57,-0.196,73.4
AL-063,"Greene County",70.6,46,-1.006,71.6
AL-065,"Hale County",70.4,45,-1.041,71.4
AL-067,"Henry County",71.8,28,-1.423,73.2
AL-069,"Houston County",73.2,48,-0.764,74
AL-071,"Jackson County",66.6,45,-0.937,67.5
AL-073,"Jefferson County",69.5,62,-0.059,69.6
AL-075,"Lamar County",70.6,75,0.676,69.9
AL-077,"Lauderdale County",67.8,60,0.116,67.7
AL-079,"Lawrence County",67.6,52,-0.576,68.2
AL-081,"Lee County",68.2,19,-2.286,70.5
AL-083,"Limestone County",68,60,-0.046,68
AL-085,"Lowndes County",71.8,58,-0.16,72
AL-087,"Macon County",69.5,21,-2.054,71.6
AL-089,"Madison County",67.7,55,-0.315,68
AL-091,"Marengo County",71.4,56,-0.389,71.8
AL-093,"Marion County",69.3,77,0.64,68.7
AL-095,"Marshall County",67.5,45,-0.801,68.3
AL-097,"Mobile County",74.4,94,1.203,73.2
AL-099,"Monroe County",72.1,58,-0.208,72.3
AL-101,"Montgomery County",71.2,48,-0.652,71.9
AL-103,"Morgan County",68,54,-0.308,68.3
AL-105,"Perry County",70.6,52,-0.596,71.2
AL-107,"Pickens County",71,67,0.084,70.9
AL-109,"Pike County",70.6,32,-1.475,72.1
AL-111,"Randolph County",67.5,49,-0.693,68.2
AL-113,"Russell County",69.4,18,-2.289,71.7
AL-115,"St. Clair County",68.6,58,-0.266,68.9
AL-117,"Shelby County",69.6,62,-0.042,69.6
AL-119,"Sumter County",71.3,58,-0.348,71.6
AL-121,"Talladega County",69,60,-0.336,69.3
AL-123,"Tallapoosa County",68.4,36,-1.252,69.7
AL-125,"Tuscaloosa County",70.1,50,-0.734,70.8
AL-127,"Walker County",69.1,60,-0.287,69.4
AL-129,"Washington County",72.9,70,0.337,72.6
AL-131,"Wilcox County",71.8,58,-0.224,72
AL-133,"Winston County",67.7,60,-0.399,68.1
AZ-001,"Apache County",57.2,83,1.136,56.1
AZ-003,"Cochise County",66.8,73,0.494,66.3
AZ-005,"Coconino County",59.4,85,1.482,57.9
AZ-007,"Gila County",65.2,85,1.518,63.7
AZ-009,"Graham County",67.2,86,1.106,66.1
AZ-011,"Greenlee County",62.2,81,0.821,61.4
AZ-012,"La Paz County",78,88,2.184,75.8
AZ-013,"Maricopa County",77.2,98,2.684,74.5
AZ-015,"Mohave County",68.9,82,1.882,67
AZ-017,"Navajo County",59.1,84,1.432,57.7
AZ-019,"Pima County",73.7,96,2.126,71.6
AZ-021,"Pinal County",75.6,95,2.186,73.4
AZ-023,"Santa Cruz County",65.5,76,0.772,64.7
AZ-025,"Yavapai County",64.4,80,1.404,63
AZ-027,"Yuma County",77.9,97,2.181,75.7
AR-001,"Arkansas County",72.2,92,1.634,70.6
AR-003,"Ashley County",72.9,100,1.766,71.1
AR-005,"Baxter County",67.1,92,1.584,65.5
AR-007,"Benton County",66.5,82,1.009,65.5
AR-009,"Boone County",66.1,86,1.161,64.9
AR-011,"Bradley County",72.1,93,1.436,70.7
AR-013,"Calhoun County",71.4,77,0.804,70.6
AR-015,"Carroll County",66,82,0.99,65
AR-017,"Chicot County",73.4,97,1.633,71.8
AR-019,"Clark County",70.7,75,0.713,70
AR-021,"Clay County",69.8,93,1.755,68
AR-023,"Cleburne County",69,100,2.115,66.9
AR-025,"Cleveland County",72,94,1.641,70.4
AR-027,"Columbia County",71.2,67,0.216,71
AR-029,"Conway County",70.2,95,1.692,68.5
AR-031,"Craighead County",70.8,103,2.166,68.6
AR-033,"Crawford County",69,96,1.662,67.3
AR-035,"Crittenden County",71.9,90,1.579,70.3
AR-037,"Cross County",71.5,89,1.659,69.8
AR-039,"Dallas County",70.9,81,0.789,70.1
AR-041,"Desha County",72.7,94,1.558,71.1
AR-043,"Drew County",72.9,98,2.005,70.9
AR-045,"Faulkner County",70.6,99,1.865,68.7
AR-047,"Franklin County",68.5,84,1.31,67.2
AR-049,"Fulton County",67.4,103,2.281,65.1
AR-051,"Garland County",69.6,82,0.874,68.7
AR-053,"Grant County",71.5,92,1.423,70.1
AR-055,"Greene County",70,95,1.765,68.2
AR-057,"Hempstead County",71.7,92,1.409,70.3
AR-059,"Hot Spring County",70.4,78,0.772,69.6
AR-061,"Howard County",70.1,85,1.1,69
