September 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",75.2,57,-0.2,75.4
AL-003,"Baldwin County",77.6,74,0.3,77.3
AL-005,"Barbour County",75.1,51,-0.8,75.9
AL-007,"Bibb County",73.5,48,-1.2,74.7
AL-009,"Blount County",72.3,58,-0.3,72.6
AL-011,"Bullock County",74.8,54,-0.7,75.5
AL-013,"Butler County",74.0,30,-1.7,75.7
AL-015,"Calhoun County",72.0,48,-0.8,72.8
AL-017,"Chambers County",72.7,61,-0.4,73.1
AL-019,"Cherokee County",71.1,36,-1.7,72.8
AL-021,"Chilton County",73.8,57,-0.6,74.4
AL-023,"Choctaw County",75.1,56,-0.5,75.6
AL-025,"Clarke County",75.4,58,-0.4,75.8
AL-027,"Clay County",71.2,48,-0.9,72.1
AL-029,"Cleburne County",70.7,48,-0.9,71.6
AL-031,"Coffee County",75.6,50,-0.8,76.4
AL-033,"Colbert County",71.5,49,-0.8,72.3
AL-035,"Conecuh County",74.8,33,-1.6,76.4
AL-037,"Coosa County",73.2,53,-0.6,73.8
AL-039,"Covington County",75.8,52,-0.8,76.6
AL-041,"Crenshaw County",74.4,43,-1.2,75.6
AL-043,"Cullman County",71.9,55,-0.5,72.4
AL-045,"Dale County",75.7,47,-0.9,76.6
AL-047,"Dallas County",75.8,72,0.1,75.7
AL-049,"DeKalb County",69.1,30,-2.3,71.4
AL-051,"Elmore County",74.8,55,-0.5,75.3
AL-053,"Escambia County",75.9,50,-0.8,76.7
AL-055,"Etowah County",72.1,51,-0.8,72.9
AL-057,"Fayette County",73.0,44,-1.2,74.2
AL-059,"Franklin County",71.2,47,-1.0,72.2
AL-061,"Geneva County",76.3,54,-0.6,76.9
AL-063,"Greene County",74.2,39,-1.6,75.8
AL-065,"Hale County",74.0,38,-1.6,75.6
AL-067,"Henry County",75.8,50,-0.7,76.5
AL-069,"Houston County",76.4,47,-0.8,77.2
