October 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",61.7,18,-2.9,64.6
AL-003,"Baldwin County",66.1,25,-1.9,68
AL-005,"Barbour County",63.5,21,-2.1,65.6
AL-007,"Bibb County",60.5,18,-3.1,63.6
AL-009,"Blount County",60.1,41,-1.4,61.5
AL-011,"Bullock County",62.7,21,-2.3,65
AL-013,"Butler County",62.3,16,-3.0,65.3
AL-015,"Calhoun County",59.3,24,-2.3,61.6
AL-017,"Chambers County",58.7,10,-3.7,62.4
AL-019,"Cherokee County",58.8,21,-2.6,61.4
AL-021,"Chilton County",60.8,21,-2.6,63.4
AL-023,"Choctaw County",62.7,23,-2.2,64.9
AL-025,"Clarke County",62.9,20,-2.6,65.5
AL-027,"Clay County",58.4,16,-3.0,61.4
AL-029,"Cleburne County",58.6,30,-2.0,60.6
AL-031,"Coffee County",63.6,19,-2.7,66.3
AL-033,"Colbert County",58.8,31,-1.9,60.7
AL-035,"Conecuh County",62.9,16,-3.2,66.1
AL-037,"Coosa County",60.1,18,-3.0,63.1
AL-039,"Covington County",63.7,19,-2.7,66.4
AL-041,"Crenshaw County",62.6,19,-2.7,65.3
AL-043,"Cullman County",59.8,43,-1.4,61.2
AL-045,"Dale County",64.0,21,-2.5,66.5
AL-047,"Dallas County",61.8,15,-3.2,65
AL-049,"DeKalb County",56.9,12,-3.4,60.3
AL-051,"Elmore County",61.4,17,-3.2,64.6
AL-053,"Escambia County",64.0,19,-2.7,66.7
AL-055,"Etowah County",59.4,25,-2.3,61.7
AL-057,"Fayette County",59.9,18,-2.8,62.7
AL-059,"Franklin County",58.9,33,-1.9,60.8
AL-061,"Geneva County",63.8,15,-3.1,66.9
AL-063,"Greene County",61.2,16,-3.5,64.7
AL-065,"Hale County",60.9,12,-3.7,64.6
AL-067,"Henry County",64.4,24,-2.1,66.5
AL-069,"Houston County",64.6,17,-2.8,67.4
AL-071,"Jackson County",57.0,11,-3.5,60.5
AL-073,"Jefferson County",60.1,26,-2.4,62.5
AL-075,"Lamar County",60.6,25,-2.2,62.8
AL-077,"Lauderdale County",57.8,21,-2.5,60.3
AL-079,"Lawrence County",58.1,17,-2.8,60.9
AL-081,"Lee County",60.2,10,-3.9,64.1
AL-083,"Limestone County",57.7,14,-3.1,60.8
AL-085,"Lowndes County",62.2,16,-3.1,65.3
AL-087,"Macon County",61.6,16,-3.4,65
AL-089,"Madison County",58.1,17,-2.8,60.9
AL-091,"Marengo County",61.7,17,-3.3,65
AL-093,"Marion County",59.2,24,-2.4,61.6
AL-095,"Marshall County",59.0,26,-2.4,61.4
AL-097,"Mobile County",65.9,27,-1.6,67.5
AL-099,"Monroe County",62.9,19,-2.9,65.8
AL-101,"Montgomery County",62.4,18,-2.8,65.2
AL-103,"Morgan County",58.9,26,-2.3,61.2
AL-105,"Perry County",60.8,13,-3.6,64.4
AL-107,"Pickens County",61.1,18,-2.8,63.9
AL-109,"Pike County",63.4,26,-2.1,65.5
AL-111,"Randolph County",58.7,24,-2.5,61.2
AL-113,"Russell County",62.1,16,-3.1,65.2
AL-115,"St. Clair County",59.1,20,-2.7,61.8
AL-117,"Shelby County",60.0,21,-2.7,62.7
AL-119,"Sumter County",61.7,18,-2.9,64.6
AL-121,"Talladega County",59.3,17,-3.0,62.3
AL-123,"Tallapoosa County",59.2,10,-3.8,63
AL-125,"Tuscaloosa County",60.8,17,-3.1,63.9
AL-127,"Walker County",59.6,21,-2.8,62.4
