November 2022 Contiguous U.S. County Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",55.6,81,1.3,54.3
AL-003,"Baldwin County",60.7,99,2.4,58.3
AL-005,"Barbour County",57.5,88,1.7,55.8
AL-007,"Bibb County",54.4,82,1.6,52.8
AL-009,"Blount County",52.3,88,1.7,50.6
AL-011,"Bullock County",57.0,88,1.9,55.1
AL-013,"Butler County",56.8,84,1.5,55.3
AL-015,"Calhoun County",53.4,94,2.4,51
AL-017,"Chambers County",53.8,89,1.7,52.1
AL-019,"Cherokee County",53.0,98,2.5,50.5
AL-021,"Chilton County",54.6,84,1.6,53
AL-023,"Choctaw County",56.4,85,1.6,54.8
AL-025,"Clarke County",57.3,88,1.9,55.4
AL-027,"Clay County",53.2,93,2.0,51.2
AL-029,"Cleburne County",53.3,105,3.1,50.2
AL-031,"Coffee County",58.8,97,2.3,56.5
AL-033,"Colbert County",51.3,85,1.7,49.6
AL-035,"Conecuh County",58.2,96,2.0,56.2
AL-037,"Coosa County",54.6,90,1.8,52.8
AL-039,"Covington County",59.1,101,2.6,56.5
AL-041,"Crenshaw County",57.1,89,1.8,55.3
AL-043,"Cullman County",51.9,85,1.5,50.4
AL-045,"Dale County",59.2,97,2.4,56.8
AL-047,"Dallas County",55.9,80,1.2,54.7
AL-049,"DeKalb County",51.6,90,2.1,49.5
AL-051,"Elmore County",55.7,83,1.3,54.4
AL-053,"Escambia County",59.4,101,2.6,56.8
AL-055,"Etowah County",52.8,89,2.0,50.8
AL-057,"Fayette County",53.8,91,2.1,51.7
AL-059,"Franklin County",51.8,90,2.0,49.8
AL-061,"Geneva County",59.9,103,2.7,57.2
AL-063,"Greene County",54.8,78,1.0,53.8
AL-065,"Hale County",54.7,76,0.8,53.9
AL-067,"Henry County",59.2,96,2.4,56.8
AL-069,"Houston County",60.4,103,2.8,57.6
AL-071,"Jackson County",51.5,90,2.0,49.5
AL-073,"Jefferson County",53.6,89,1.9,51.7
AL-075,"Lamar County",54.2,92,2.4,51.8
AL-077,"Lauderdale County",50.2,80,1.1,49.1
AL-079,"Lawrence County",50.7,75,0.9,49.8
AL-081,"Lee County",55.0,81,1.1,53.9
AL-083,"Limestone County",50.6,77,1.0,49.6
AL-085,"Lowndes County",56.4,81,1.3,55.1
AL-087,"Macon County",56.1,82,1.2,54.9
AL-089,"Madison County",51.6,86,1.8,49.8
AL-091,"Marengo County",55.7,78,1.1,54.6
AL-093,"Marion County",53.1,94,2.5,50.6
AL-095,"Marshall County",52.7,90,2.2,50.5
AL-097,"Mobile County",60.3,100,2.5,57.8
AL-099,"Monroe County",57.8,93,2.0,55.8
AL-101,"Montgomery County",56.7,86,1.6,55.1
AL-103,"Morgan County",51.7,85,1.6,50.1
AL-105,"Perry County",54.9,78,1.0,53.9
AL-107,"Pickens County",54.8,88,1.9,52.9
AL-109,"Pike County",57.9,97,2.3,55.6
AL-111,"Randolph County",53.5,103,2.7,50.8
AL-113,"Russell County",55.8,78,0.8,55
AL-115,"St. Clair County",52.5,82,1.4,51.1
AL-117,"Shelby County",53.9,89,1.8,52.1
AL-119,"Sumter County",55.1,78,1.0,54.1
AL-121,"Talladega County",53.5,88,1.7,51.8
AL-123,"Tallapoosa County",54.2,86,1.4,52.8
AL-125,"Tuscaloosa County",54.4,83,1.5,52.9
AL-127,"Walker County",53.1,86,1.7,51.4
AL-129,"Washington County",57.8,84,1.8,56
AL-131,"Wilcox County",56.6,81,1.4,55.2
AL-133,"Winston County",51.7,86,1.5,50.2
AZ-001,"Apache County",35.6,13,-3.6,39.2
AZ-003,"Cochise County",48.4,22,-2.3,50.7
AZ-005,"Coconino County",37.8,14,-3.3,41.1
AZ-007,"Gila County",46.6,21,-2.4,49
AZ-009,"Graham County",48.2,21,-2.0,50.2
AZ-011,"Greenlee County",43.5,16,-2.5,46
AZ-012,"La Paz County",55.9,10,-3.6,59.5
AZ-013,"Maricopa County",55.6,11,-3.4,59
AZ-015,"Mohave County",47.1,11,-3.9,51
AZ-017,"Navajo County",36.9,14,-3.2,40.1
AZ-019,"Pima County",54.5,19,-2.7,57.2
AZ-021,"Pinal County",55.2,21,-2.4,57.6
AZ-023,"Santa Cruz County",48.6,14,-3.0,51.6
AZ-025,"Yavapai County",45.6,14,-3.4,49
AZ-027,"Yuma County",57.9,19,-2.8,60.7
AR-001,"Arkansas County",51.2,61,-0.5,51.7
AR-003,"Ashley County",53.4,69,0.4,53
AR-005,"Baxter County",46.9,66,0.4,46.5
AR-007,"Benton County",46.6,59,-0.3,46.9
AR-009,"Boone County",46.9,67,0.6,46.3
AR-011,"Bradley County",52.0,66,-0.2,52.2
AR-013,"Calhoun County",51.4,55,-0.8,52.2
AR-015,"Carroll County",46.4,57,-0.2,46.6
AR-017,"Chicot County",53.7,67,0.3,53.4
AR-019,"Clark County",50.7,53,-0.8,51.5
AR-021,"Clay County",48.2,71,0.6,47.6
AR-023,"Cleburne County",49.0,76,0.6,48.4
AR-025,"Cleveland County",51.0,57,-0.7,51.7
AR-027,"Columbia County",51.9,47,-1.2,53.1
AR-029,"Conway County",49.9,72,0.5,49.4
AR-031,"Craighead County",49.2,75,0.7,48.5
AR-033,"Crawford County",48.6,61,-0.2,48.8
AR-035,"Crittenden County",50.6,67,0.0,50.6
AR-037,"Cross County",49.9,67,0.0,49.9
AR-039,"Dallas County",50.6,50,-1.0,51.6
AR-041,"Desha County",52.2,66,-0.2,52.4
AR-043,"Drew County",52.1,66,-0.3,52.4
AR-045,"Faulkner County",49.5,63,-0.3,49.8
AR-047,"Franklin County",48.5,62,-0.3,48.8
AR-049,"Fulton County",47.2,78,1.3,45.9
AR-051,"Garland County",49.9,61,-0.3,50.2
AR-053,"Grant County",50.9,62,-0.5,51.4
AR-055,"Greene County",48.7,75,0.8,47.9
AR-057,"Hempstead County",51.6,58,-0.6,52.2
AR-059,"Hot Spring County",50.7,62,-0.4,51.1
AR-061,"Howard County",50.7,62,-0.2,50.9
AR-063,"Independence County",48.7,76,0.7,48
AR-065,"Izard County",46.9,69,0.1,46.8
AR-067,"Jackson County",49.3,75,0.6,48.7
AR-069,"Jefferson County",51.2,66,-0.3,51.5
AR-071,"Johnson County",48.2,63,0.0,48.2
AR-073,"Lafayette County",52.9,66,-0.3,53.2
AR-075,"Lawrence County",48.5,78,0.8,47.7
AR-077,"Lee County",51.1,71,0.1,51
AR-079,"Lincoln County",51.4,60,-0.5,51.9
AR-081,"Little River County",52.7,67,0.3,52.4
AR-083,"Logan County",49.2,62,-0.3,49.5
AR-085,"Lonoke County",50.4,61,-0.5,50.9
AR-087,"Madison County",46.2,60,-0.1,46.3
AR-089,"Marion County",47.1,69,0.6,46.5
AR-091,"Miller County",53.6,69,0.2,53.4
AR-093,"Mississippi County",49.5,69,0.2,49.3
AR-095,"Monroe County",50.8,63,-0.2,51
