county,fips,state,lat,lng
Los Angeles County,6037,California,34.3209,-118.2247
Cook County,17031,Illinois,41.8401,-87.8168
Harris County,48201,Texas,29.8578,-95.3936
Maricopa County,4013,Arizona,33.349,-112.4915
San Diego County,6073,California,33.0343,-116.735
Orange County,6059,California,33.7031,-117.7609
Miami-Dade County,12086,Florida,25.6149,-80.5623
Dallas County,48113,Texas,32.7666,-96.7778
Kings County,36047,New York,40.6395,-73.9385
Riverside County,6065,California,33.7437,-115.9938
Queens County,36081,New York,40.7023,-73.8203
Clark County,32003,Nevada,36.2152,-115.0135
King County,53033,Washington,47.4902,-121.8052
San Bernardino County,6071,California,34.8414,-116.1785
Tarrant County,48439,Texas,32.7719,-97.2911
Bexar County,48029,Texas,29.4489,-98.52
Broward County,12011,Florida,26.1523,-80.4871
Santa Clara County,6085,California,37.2318,-121.6951
Wayne County,26163,Michigan,42.2819,-83.2822
Alameda County,6001,California,37.6469,-121.8888
New York County,36061,New York,40.7784,-73.9674
Middlesex County,25017,Massachusetts,42.4856,-71.3918
Philadelphia County,42101,Pennsylvania,40.0077,-75.1339
Sacramento County,6067,California,38.4493,-121.3443
Palm Beach County,12099,Florida,26.6476,-80.4655
Suffolk County,36103,New York,40.8686,-72.8448
Hillsborough County,12057,Florida,27.9292,-82.3092
Bronx County,36005,New York,40.85,-73.8661
Orange County,12095,Florida,28.5144,-81.3235
Nassau County,36059,New York,40.7328,-73.5865
Franklin County,39049,Ohio,39.9695,-83.0093
Oakland County,26125,Michigan,42.6604,-83.3858
Hennepin County,27053,Minnesota,45.0045,-93.477
Travis County,48453,Texas,30.3344,-97.782
Cuyahoga County,39035,Ohio,41.4243,-81.6586
Allegheny County,42003,Pennsylvania,40.4688,-79.9812
Fairfax County,51059,Virginia,38.8368,-77.277
Contra Costa County,6013,California,37.9191,-121.9277
Salt Lake County,49035,Utah,40.6673,-111.9236
Mecklenburg County,37119,North Carolina,35.2467,-80.8328
Wake County,37183,North Carolina,35.7903,-78.6503
Fulton County,13121,Georgia,33.7903,-84.467
Montgomery County,24031,Maryland,39.1363,-77.2042
Pima County,4019,Arizona,32.0974,-111.7899
Collin County,48085,Texas,33.188,-96.5724
St. Louis County,29189,Missouri,38.6407,-90.4434
Fresno County,6019,California,36.7582,-119.6493
Honolulu County,15003,Hawaii,21.5008,-158.1053
Pinellas County,12103,Florida,27.9199,-82.7256
Westchester County,36119,New York,41.1624,-73.7561
Marion County,18097,Indiana,39.7817,-86.1385
Milwaukee County,55079,Wisconsin,43.0072,-87.9669
Duval County,12031,Florida,30.3316,-81.6708
Fairfield County,9001,Connecticut,41.2711,-73.3893
Shelby County,47157,Tennessee,35.1842,-89.894
Bergen County,34003,New Jersey,40.9597,-74.0742
Gwinnett County,13135,Georgia,33.9617,-84.0236
DuPage County,17043,Illinois,41.852,-88.0856
Erie County,36029,New York,42.7639,-78.7323
Prince George's County,24033,Maryland,38.8295,-76.8473
Kern County,6029,California,35.3426,-118.7301
Hartford County,9003,Connecticut,41.8064,-72.7329
Pierce County,53053,Washington,47.0241,-122.1046
San Francisco County,6075,California,37.7558,-122.4449
Macomb County,26099,Michigan,42.6957,-82.9323
Denton County,48121,Texas,33.2055,-97.1168
Hidalgo County,48215,Texas,26.3967,-98.1811
New Haven County,9009,Connecticut,41.4106,-72.9321
Ventura County,6111,California,34.4561,-119.0836
El Paso County,48141,Texas,31.7686,-106.2348
Baltimore County,24005,Maryland,39.4627,-76.6393
